"Labour force characteristics by industry, annual (x 1,000)" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"","","","Employment 4",,
"","","","Both sexes",,
"Geography2","North American Industry Classification System (NAICS)3","Reference period","15 to 24 years","25 to 54 years","55 years and over"
"",,,"Persons",,
"Canada","Total, all industries 5","2014","2,485.5","11,826.1","3,490.6"
,,"2015","2,471.6","11,872.5","3,602.5"
,,"2016","2,429.1","11,902.1","3,748.7"
,,"2017","2,458.3","12,068.4","3,889.7"
,,"2018","2,450.2","12,196.2","4,011.1"
,,"2019","2,516.7","12,382.1","4,156.9"
,"Goods-producing sector 6","2014","400.2","2,716.2","780.7"
,,"2015","389.1","2,664.9","816.4"
,,"2016","362.2","2,632.2","838.6"
,,"2017","376.1","2,623.3","876.5"
,,"2018","378.8","2,654.2","895.5"
,,"2019","359.1","2,651.1","945.2"
,"Agriculture 7","2014","42.4","157.8","104.9"
,,"2015","45.7","140.8","108.5"
,,"2016","42.8","133.8","112.6"
,,"2017","39.2","134.2","106.1"
,,"2018","37.6","129.7","109.9"
,,"2019","37.1","143.1","107.4"
,"Forestry, fishing, mining, quarrying, oil and gas 8 9","2014","36.1","275.7","60.8"
,,"2015","30.0","260.0","64.9"
,,"2016","20.0","249.1","57.7"
,,"2017","22.1","240.0","67.5"
,,"2018","24.9","251.2","64.5"
,,"2019","21.9","243.1","67.5"
,"Forestry and logging and support activities for forestry","2014","5.2","31.6","12.4"
,,"2015","6.7","31.0","11.5"
,,"2016","5.3","31.2","11.6"
,,"2017","5.7","28.7","13.8"
,,"2018","5.4","30.8","15.8"
,,"2019","4.6","29.0","13.6"
,"Fishing, hunting and trapping","2014","1.5","8.9","5.5"
,,"2015","x","8.8","5.9"
,,"2016","x","8.7","5.2"
,,"2017","x","9.9","6.4"
,,"2018","x","8.7","6.8"
,,"2019","x","9.9","5.9"
,"Mining, quarrying, and oil and gas extraction 8","2014","29.4","235.2","43.0"
,,"2015","22.2","220.2","47.5"
,,"2016","13.8","209.2","40.8"
,,"2017","15.4","201.4","47.4"
,,"2018","18.6","211.7","42.0"
,,"2019","16.3","204.2","47.9"
,"Utilities","2014","7.5","108.0","21.4"
,,"2015","5.9","106.1","25.0"
,,"2016","7.2","103.1","26.9"
,,"2017","6.1","102.0","24.5"
,,"2018","5.6","112.0","27.2"
,,"2019","6.6","109.4","23.1"
,"Construction","2014","174.6","949.8","247.1"
,,"2015","162.5","963.6","245.1"
,,"2016","152.1","980.7","252.2"
,,"2017","159.9","969.1","280.4"
,,"2018","164.0","989.0","284.6"
,,"2019","150.4","1,007.6","305.1"
,"Manufacturing","2014","139.6","1,224.9","346.5"
,,"2015","145.0","1,194.5","373.0"
,,"2016","140.0","1,165.6","389.2"
,,"2017","148.8","1,178.1","398.0"
,,"2018","146.8","1,172.3","409.3"
,,"2019","143.2","1,147.9","442.0"
,"Durables","2014","86.4","737.7","205.4"
,,"2015","87.3","720.7","222.1"
,,"2016","83.5","711.9","237.5"
,,"2017","86.8","716.1","240.1"
,,"2018","86.2","708.1","248.2"
,,"2019","85.4","688.3","269.7"
