"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","","Employment 3",,,,,"Employment rate 4",,,,
"Geography2","Sex","Reference period","15 to 24 years  (x 1,000)","25 to 44 years  (x 1,000)","45 to 64 years  (x 1,000)","65 to 69 years  (x 1,000)","70 years and over  (x 1,000)","15 to 24 years","25 to 44 years","45 to 64 years","65 to 69 years","70 years and over"
"",,,"Persons",,,,,"Percentage",,,,
"Newfoundland and Labrador","Both sexes","January 2015","28.2","97.0","92.4","5.1","2.6","49.3","75.2","55.9","14.4","4.6"
,,"February 2015","27.1","96.7","93.4","4.6","2.3","47.5","75.1","56.5","13.0","4.1"
,,"March 2015","27.2","96.3","95.1","4.6","2.2","47.8","74.8","57.6","12.9","3.9"
,,"April 2015","27.3","97.3","97.1","5.7","1.9","48.1","75.7","58.8","16.0","3.3"
,,"May 2015","29.8","97.7","101.8","5.6","2.1","52.7","76.1","61.7","15.6","3.7"
,,"June 2015","31.6","100.6","108.8","6.0","2.0","56.2","78.5","65.9","16.7","3.5"
,,"July 2015","37.6","99.1","107.3","5.7","2.2","67.1","77.4","65.0","15.8","3.8"
,,"August 2015","37.1","97.7","107.3","6.5","2.2","66.5","76.4","65.1","18.0","3.8"
,,"September 2015","29.1","96.3","105.8","6.5","3.0","52.2","75.4","64.2","18.0","5.2"
,,"October 2015","30.8","96.3","101.9","5.7","2.4","55.3","75.4","61.9","15.7","4.1"
,,"November 2015","31.7","94.2","99.5","6.8","2.0","56.9","73.8","60.4","18.7","3.4"
,,"December 2015","30.9","93.9","96.4","5.3","2.4","55.5","73.6","58.5","14.6","4.1"
,,"January 2016","27.8","91.6","90.7","5.1","2.6","50.0","71.8","55.1","14.0","4.4"
,,"February 2016","28.5","92.3","91.3","5.3","2.8","51.3","72.4","55.5","14.5","4.7"
,,"March 2016","26.5","94.2","92.4","5.0","2.4","47.7","73.9","56.1","13.7","4.0"
,,"April 2016","26.6","94.8","99.0","5.9","2.5","47.8","74.4","60.2","16.1","4.2"
,,"May 2016","29.8","96.9","105.9","6.7","2.4","53.7","76.1","64.3","18.3","4.0"
,,"June 2016","31.8","100.1","106.8","7.5","1.9","57.3","78.6","64.8","20.4","3.1"
,,"July 2016","36.7","98.4","105.3","5.8","1.7","66.2","77.4","64.0","15.8","2.8"
,,"August 2016","35.4","96.3","104.5","6.8","1.5","64.0","75.8","63.5","18.5","2.5"
,,"September 2016","27.7","98.5","104.8","7.4","1.7","50.2","77.6","63.7","20.1","2.8"
,,"October 2016","26.7","95.8","100.3","6.5","1.7","48.5","75.5","61.0","17.6","2.8"
,,"November 2016","27.6","94.7","97.8","6.1","1.9","50.1","74.7","59.6","16.5","3.1"
,,"December 2016","28.8","92.2","94.3","6.1","1.8","52.4","72.8","57.5","16.5","2.9"
,,"January 2017","24.6","92.6","88.8","6.6","2.5","44.7","73.0","54.1","17.8","4.0"
,,"February 2017","24.7","93.1","88.3","5.2","2.4","44.9","73.4","53.9","14.1","3.8"
