"Labour force characteristics by industry, annual (x 1,000)" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"","","Employment 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","Total, all industries 5","Goods-producing sector 6","Agriculture 7","Forestry, fishing, mining, quarrying, oil and gas 8 9","Forestry and logging and support activities for forestry","Fishing, hunting and trapping","Mining, quarrying, and oil and gas extraction 8","Utilities","Construction","Manufacturing","Durables","Non-durables","Services-producing sector 10","Wholesale and retail trade","Wholesale trade","Retail trade","Transportation and warehousing","Finance, insurance, real estate, rental and leasing","Finance and insurance","Real estate and rental and leasing","Professional, scientific and technical services","Business, building and other support services 11","Educational services","Health care and social assistance","Information, culture and recreation","Accommodation and food services","Other services (except public administration)","Public administration","Unclassified industries 12"
"","","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"Geography2","Reference period","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over"
"",,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newfoundland and Labrador","2014","238.6","54.7","1.3","17.6","0.9","3.1","13.7","2.6","22.6","10.6","4.5","6.1","183.9","39.4","6.1","33.3","11.7","8.6","6.1","2.5","10.6","6.4","17.6","37.5","7.5","15.1","12.0","17.5",".."
,"2015","236.2","54.1","1.3","16.2","1.2","3.4","11.6","2.5","22.6","11.4","4.2","7.2","182.0","41.6","5.2","36.4","10.0","8.3","5.1","3.2","11.3","7.2","15.1","37.6","7.3","15.4","12.5","15.7",".."
,"2016","232.6","50.5","1.5","14.4","0.8","3.1","10.5","2.8","21.9","9.8","3.7","6.1","182.1","43.1","6.5","36.6","9.7","7.9","4.8","3.1","10.5","6.9","14.3","39.2","7.1","16.0","12.2","15.3",".."
,"2017","224.1","46.8","1.9","12.1","1.1","2.9","8.1","2.9","20.7","9.1","3.5","5.6","177.4","40.7","4.6","36.2","11.3","6.4","4.4","1.9","9.8","6.9","15.2","39.4","6.5","14.8","11.3","15.1",".."
,"2018","225.3","46.3","1.6","12.6","0.9","3.5","8.1","3.1","20.1","9.0","3.0","6.0","179.0","37.4","5.7","31.7","11.9","7.3","5.0","2.3","10.0","6.5","15.9","39.6","7.2","16.0","10.4","16.8",".."
,"2019","226.6","46.3","1.3","14.0","0.9","3.5","9.5","2.7","19.3","8.9","2.7","6.2","180.3","35.1","5.2","29.8","12.0","7.0","4.0","2.9","9.7","7.5","16.2","39.6","7.5","17.0","10.2","18.6",".."
"Prince Edward Island","2014","74.0","18.0","3.7","2.5","0.2","1.8","0.6","0.3","5.8","5.6","2.3","3.3","56.1","11.0","1.0","10.0","2.9","2.3","1.7","0.6","2.9","2.3","5.6","10.5","2.6","5.5","3.3","7.0",".."
,"2015","73.2","17.2","3.2","2.4","0.2","1.7","0.5","0.4","5.2","6.0","1.8","4.2","55.9","11.0","1.4","9.6","2.5","2.5","1.8","0.7","3.1","2.5","5.3","9.9","2.4","6.0","3.4","7.4",".."
,"2016","71.5","16.6","3.1","2.4","x","2.0","0.3","0.3","4.7","6.0","2.1","3.9","55.0","10.3","1.3","9.0","2.5","2.7","1.9","0.8","3.7","2.3","5.1","10.1","2.6","5.8","3.1","6.8",".."
,"2017","73.7","17.6","3.1","2.5","0.3","2.0","0.2","0.2","5.3","6.5","2.3","4.1","56.1","11.1","1.7","9.4","2.8","2.7","2.0","0.7","3.5","1.9","5.3","10.5","2.7","5.5","3.3","6.9",".."
,"2018","76.0","19.4","4.0","2.7","0.2","2.2","0.3","0.2","5.8","6.8","2.4","4.3","56.6","11.1","1.7","9.4","2.6","2.9","1.9","1.0","3.5","1.9","5.4","10.5","2.7","6.2","3.1","6.7",".."
,"2019","78.0","19.7","4.2","2.3","0.2","1.8","0.3","0.3","6.4","6.5","2.7","3.8","58.2","11.2","1.4","9.7","2.9","2.9","2.0","0.9","3.5","2.4","5.4","11.1","2.2","5.8","3.2","7.7",".."
