"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","","Employment 3",,,"Employment rate 4",,
"Geography2","Age group","Reference period","Both sexes  (x 1,000)","Males  (x 1,000)","Females  (x 1,000)","Both sexes","Males","Females"
"",,,"Persons",,,"Percentage",,
"Newfoundland and Labrador","15 years and over","January 2015","225.3","110.9","114.3","50.8","51.0","50.6"
,,"February 2015","224.1","111.0","113.2","50.6","51.1","50.1"
,,"March 2015","225.4","112.3","113.1","50.9","51.7","50.1"
,,"April 2015","229.3","113.7","115.6","51.7","52.3","51.2"
,,"May 2015","237.1","117.0","120.1","53.5","53.9","53.2"
,,"June 2015","249.1","126.2","122.9","56.3","58.1","54.5"
,,"July 2015","251.9","129.5","122.4","56.9","59.7","54.3"
,,"August 2015","250.8","130.4","120.4","56.7","60.1","53.4"
,,"September 2015","240.7","123.8","116.9","54.4","57.1","51.8"
,,"October 2015","237.1","122.5","114.6","53.6","56.4","50.8"
,,"November 2015","234.2","119.0","115.2","52.9","54.8","51.0"
,,"December 2015","228.9","115.2","113.7","51.7","53.0","50.4"
,,"January 2016","217.9","107.7","110.2","49.2","49.5","48.8"
,,"February 2016","220.1","108.7","111.4","49.6","50.0","49.3"
,,"March 2016","220.4","110.4","110.1","49.7","50.7","48.7"
,,"April 2016","228.7","115.3","113.4","51.5","53.0","50.1"
,,"May 2016","241.7","122.9","118.8","54.4","56.4","52.5"
,,"June 2016","248.1","126.7","121.4","55.8","58.1","53.6"
,,"July 2016","247.9","127.7","120.1","55.8","58.6","53.0"
,,"August 2016","244.5","126.0","118.6","55.0","57.8","52.4"
,,"September 2016","240.0","123.3","116.7","54.0","56.5","51.5"
,,"October 2016","230.9","118.0","112.9","51.9","54.1","49.8"
,,"November 2016","228.0","116.7","111.4","51.3","53.5","49.1"
,,"December 2016","223.2","111.3","111.9","50.2","51.0","49.3"
,,"January 2017","215.0","104.6","110.5","48.3","47.9","48.7"
,,"February 2017","213.7","103.2","110.5","48.0","47.3","48.7"
